Name,Category,Mention Count,Sample Files
Jeffrey Epstein,core,1371,EFTA00024875; EFTA00026428; EFTA00026703; EFTA00023813; EFTA00024265
Child Exploitation,unknown,146,EFTA00024742; EFTA00025163; EFTA00025129; EFTA00023673; EFTA00026811
Law Offices,unknown,145,EFTA00026465; EFTA00024228; EFTA00026701; EFTA00025035; EFTA00025282
Field Office,unknown,145,EFTA00023538; EFTA00025128; EFTA00023673; EFTA00025401; EFTA00026741
Correctional Center,unknown,145,EFTA00036841; EFTA00036416; EFTA00036414; EFTA00036413; EFTA00036843
Edit Email,unknown,141,EFTA00025090; EFTA00025382; EFTA00025338; EFTA00025375; EFTA00026784
Online Help,unknown,139,EFTA00025090; EFTA00025382; EFTA00025338; EFTA00025375; EFTA00026784
"From
Sent",unknown,132,EFTA00025228; EFTA00026971; EFTA00024543; EFTA00024739; EFTA00024479
Operations Lieutenant,unknown,131,EFTA00023756; EFTA00023768; EFTA00027028; EFTA00036461; EFTA00036411
Task Force,unknown,130,EFTA00023957; EFTA00024742; EFTA00025163; EFTA00025129; EFTA00026494
Metropolitan Correctional,unknown,121,EFTA00025544; EFTA00024400; EFTA00025383; EFTA00026669; EFTA00025109
Special Housing,unknown,119,EFTA00024019; EFTA00023756; EFTA00025239; EFTA00023768; EFTA00036598
New Hampshire,unknown,113,EFTA00024265; EFTA00024481; EFTA00024772; EFTA00024523; EFTA00024559
Psych Observation,unknown,108,EFTA00036517; EFTA00036523; EFTA00036427; EFTA00036515; EFTA00036368
Inmate Epstein,core,107,EFTA00024366; EFTA00036416; EFTA00036677; EFTA00036643; EFTA00036664
"Maxwell
Date",accomplice,97,EFTA00024470; EFTA00024982; EFTA00024494; EFTA00026837; EFTA00024741
Palm Beach,unknown,92,EFTA00024270; EFTA00026910; EFTA00024594; EFTA00024238; EFTA00024722
"Justice
Federal",unknown,92,EFTA00025544; EFTA00036893; EFTA00036136; EFTA00036131; EFTA00036328
Original Message,unknown,91,EFTA00026599; EFTA00024938; EFTA00025228; EFTA00025103; EFTA00025355
West Palm,unknown,91,EFTA00024270; EFTA00023641; EFTA00023869; EFTA00024684; EFTA00020505
Jeffrey Pagliuca,attorney,87,EFTA00025059; EFTA00025035; EFTA00024987; EFTA00026872; EFTA00026890
Administrative Detention,unknown,87,EFTA00036573; EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603
The Government,unknown,84,EFTA00024724; EFTA00025035; EFTA00026526; EFTA00027072; EFTA00025287
Eastern Time,unknown,84,EFTA00025228; EFTA00037718; EFTA00037732; EFTA00037746; EFTA00037735
"Operations
Lieutenant",unknown,83,EFTA00034778; EFTA00035056; EFTA00034534; EFTA00034878; EFTA00034885
"Prisons
Metropolitan",unknown,82,EFTA00036841; EFTA00036843; EFTA00036136; EFTA00036326; EFTA00036328
Body Alarm,unknown,82,EFTA00036367; EFTA00034172; EFTA00034706; EFTA00034966; EFTA00035504
Like Epstein,core,81,EFTA00024481; EFTA00024523; EFTA00024559; EFTA00024535; EFTA00024539
Prince Andrew,political,81,EFTA00023865; EFTA00023804; EFTA00023662; EFTA00023771; EFTA00024474
Judge Nathan,unknown,80,EFTA00024724; EFTA00024952; EFTA00026872; EFTA00024931; EFTA00024708
Protective Order,unknown,80,EFTA00025035; EFTA00024987; EFTA00024919; EFTA00027031; EFTA00027072
"Normal
From",unknown,80,EFTA00024713; EFTA00026781; EFTA00037718; EFTA00037732; EFTA00037746
Good Verbal,unknown,80,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Name Reg,unknown,80,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Saint Andrews,political,79,EFTA00024952; EFTA00024904; EFTA00024174; EFTA00026568; EFTA00024899
International Terrorist,unknown,79,EFTA00026660; EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603
Institution Count,unknown,79,EFTA00036845; EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603
Metal Detector,unknown,79,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Inspector General,unknown,78,EFTA00025226; EFTA00025544; EFTA00023984; EFTA00025225; EFTA00023915
Roof Check,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Phone Check,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Temporary Chit,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Number Reason,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Restraint Equipment,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Address System,unknown,78,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Law Enforcement,unknown,77,EFTA00037604; EFTA00037601; EFTA00037590; EFTA00037615; EFTA00037614
Ending Count,unknown,77,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Clear Institution,unknown,77,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
"Epstein
Start",core,76,EFTA00024398; EFTA00024486; EFTA00024012; EFTA00037787; EFTA00037457
High Alert,unknown,76,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Mark S. Cohen,unknown,75,EFTA00024888; EFTA00024564; EFTA00027076; EFTA00024925; EFTA00023705
Bobbi C. Stemheim,unknown,75,EFTA00026465; EFTA00025035; EFTA00024987; EFTA00024919; EFTA00025015
Morning Watch,unknown,75,EFTA00025420; EFTA00025406; EFTA00036461; EFTA00035056; EFTA00034878
Test Initiated,unknown,75,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Daily Hand,unknown,75,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Bobbi C. Sternheim,unknown,74,EFTA00024228; EFTA00025282; EFTA00026692; EFTA00023918; EFTA00025278
Last Name,unknown,74,EFTA00026660; EFTA00024032; EFTA00025010; EFTA00037746; EFTA00037735
Testing Complete,unknown,74,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Dry Cell,unknown,74,EFTA00035504; EFTA00034603; EFTA00034734; EFTA00034908; EFTA00034979
Dear Counsel,unknown,73,EFTA00025035; EFTA00024987; EFTA00024919; EFTA00023768; EFTA00027072
Day Watch,unknown,72,EFTA00025420; EFTA00025406; EFTA00036461; EFTA00035056; EFTA00034878
Grand Jury,unknown,71,EFTA00026851; EFTA00024270; EFTA00025376; EFTA00024449; EFTA00024447
"Ghislaine
Maxwell",accomplice,71,EFTA00024220; EFTA00024724; EFTA00024872; EFTA00024721; EFTA00024897
Judicial Conference,unknown,71,EFTA00025378; EFTA00024772; EFTA00027066; EFTA00025177; EFTA00023745
Watch Calls,unknown,71,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Institution Public,unknown,70,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
"Order
Ending",unknown,70,EFTA00034603; EFTA00034734; EFTA00034908; EFTA00034979; EFTA00035688
Rear Gate,unknown,69,EFTA00036968; EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603
First Name,unknown,68,EFTA00037746; EFTA00037735; EFTA00036982; EFTA00037207; EFTA00037714
Unit Time,unknown,68,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034603; EFTA00034734
Attorney General,unknown,66,EFTA00026428; EFTA00024400; EFTA00026494; EFTA00023984; EFTA00025383
Case Name,unknown,66,EFTA00025378; EFTA00024772; EFTA00026447; EFTA00025177; EFTA00023745
Second Circuit,unknown,65,EFTA00026428; EFTA00025258; EFTA00025392; EFTA00025551; EFTA00024831
Network Only,unknown,65,EFTA00025090; EFTA00025382; EFTA00025338; EFTA00025375; EFTA00026784
Virgin Islands,unknown,65,EFTA00024938; EFTA00027072; EFTA00026979; EFTA00024932; EFTA00024584
Manual Login,unknown,64,EFTA00025090; EFTA00025382; EFTA00025338; EFTA00025375; EFTA00026784
Daily Activity,unknown,64,EFTA00034778; EFTA00035056; EFTA00034534; EFTA00034878; EFTA00034885
"Maxwell
Case",accomplice,63,EFTA00025378; EFTA00024772; EFTA00027066; EFTA00024708; EFTA00025177
Executive Assistant,unknown,63,EFTA00034778; EFTA00035056; EFTA00034534; EFTA00034885; EFTA00035560
"Thanks
From",unknown,61,EFTA00023728; EFTA00027000; EFTA00025482; EFTA00024566; EFTA00023710
Gloria Allred,attorney,61,EFTA00026869; EFTA00024299; EFTA00024428; EFTA00024279; EFTA00025398
Control Center,unknown,61,EFTA00023768; EFTA00036168; EFTA00020645; EFTA00034778; EFTA00034548
Uploaded Files,unknown,60,EFTA00037544; EFTA00037558; EFTA00037802; EFTA00037560; EFTA00037826
Use Only,unknown,60,EFTA00037604; EFTA00037601; EFTA00037590; EFTA00037615; EFTA00037614
"Captain
Lieutenants",unknown,60,EFTA00034778; EFTA00035056; EFTA00034534; EFTA00034885; EFTA00035560
Departments Heads,unknown,60,EFTA00034778; EFTA00035056; EFTA00034534; EFTA00034885; EFTA00035560
Epstein Investigation,core,59,EFTA00025090; EFTA00025382; EFTA00026784; EFTA00025494; EFTA00025479
Chief Psychologist,unknown,59,EFTA00036407; EFTA00036406; EFTA00035520; EFTA00035598; EFTA00035337
Saint Andrew,political,58,EFTA00024919; EFTA00024986; EFTA00037897; EFTA00037899; EFTA00023378
Bobbi Stemheim,unknown,57,EFTA00025035; EFTA00024868; EFTA00025066; EFTA00024236; EFTA00026813
Evening Watch,unknown,57,EFTA00025420; EFTA00025406; EFTA00036461; EFTA00035056; EFTA00034534
Daily Activities,unknown,57,EFTA00034129; EFTA00034882; EFTA00034919; EFTA00035368; EFTA00034097
Single Sign,unknown,56,EFTA00025090; EFTA00025382; EFTA00025375; EFTA00026784; EFTA00025334
Jeffrey Edward,unknown,56,EFTA00024032; EFTA00036652; EFTA00036659; EFTA00035068; EFTA00034337
"Query
Query",unknown,56,EFTA00037746; EFTA00037735; EFTA00036982; EFTA00037207; EFTA00037714
"Query
Record",unknown,56,EFTA00037746; EFTA00037735; EFTA00036982; EFTA00037207; EFTA00037714
Person Lookout,unknown,56,EFTA00037746; EFTA00037735; EFTA00036982; EFTA00037207; EFTA00037714
Third Avenue,unknown,55,EFTA00024870; EFTA00026279; EFTA00027072; EFTA00024868; EFTA00024236
"Avenue
Denver",unknown,55,EFTA00027072; EFTA00025469; EFTA00024868; EFTA00025066; EFTA00024236
Privacy Act,unknown,54,EFTA00025075; EFTA00023555; EFTA00023536; EFTA00026279; EFTA00024995
Los Angeles,unknown,54,EFTA00024299; EFTA00025258; EFTA00026843; EFTA00025392; EFTA00026532
For Official,unknown,54,EFTA00037604; EFTA00037601; EFTA00037590; EFTA00037615; EFTA00037614
"None
Psych",unknown,54,EFTA00036370; EFTA00036523; EFTA00036368; EFTA00036521; EFTA00036443
Fire Watch,unknown,54,EFTA00035504; EFTA00034603; EFTA00034734; EFTA00034565; EFTA00034077
"Floor
New",unknown,52,EFTA00026465; EFTA00026690; EFTA00024870; EFTA00023918; EFTA00024447
"Normal
Thanks",unknown,52,EFTA00026690; EFTA00027046; EFTA00037316; EFTA00037789; EFTA00037269
Children Total,unknown,52,EFTA00035504; EFTA00034603; EFTA00034908; EFTA00034979; EFTA00034565
Mark Epstein,core,51,EFTA00023933; EFTA00024301; EFTA00024302; EFTA00037236; EFTA00037380
Inmates Adults,unknown,51,EFTA00035504; EFTA00034603; EFTA00034908; EFTA00034979; EFTA00034565
Subject Fwd,unknown,49,EFTA00036334; EFTA00036914; EFTA00036411; EFTA00036565; EFTA00036695
"Phone
Fax",unknown,49,EFTA00014156; EFTA00014158; EFTA00014114; EFTA00013951; EFTA00013961
Bobbi Sternheim,unknown,46,EFTA00024987; EFTA00025508; EFTA00024919; EFTA00027072; EFTA00024791
Martin G. Weinberg,unknown,46,EFTA00024359; EFTA00024363; EFTA00024407; EFTA00020942; EFTA00020940
Jeffery Epstein,core,46,EFTA00026658; EFTA00037840; EFTA00037438; EFTA00037448; EFTA00037902
Jeffrey E. Epstein,core,46,EFTA00025109; EFTA00037752; EFTA00037750; EFTA00022539; EFTA00020668
"Order
Ops",unknown,46,EFTA00034172; EFTA00034706; EFTA00035504; EFTA00034908; EFTA00034565
Docket Text,unknown,43,EFTA00025378; EFTA00024772; EFTA00026477; EFTA00026918; EFTA00037872
"Protective
Order",unknown,43,EFTA00024987; EFTA00024919; EFTA00027072; EFTA00024868; EFTA00024791
Jack Scarola,attorney,43,EFTA00023555; EFTA00023557; EFTA00023536; EFTA00023641; EFTA00025398
Criminal Procedure,unknown,42,EFTA00024270; EFTA00023895; EFTA00026494; EFTA00024744; EFTA00022091
New Mexico,unknown,42,EFTA00024507; EFTA00024512; EFTA00024238; EFTA00023920; EFTA00025010
White Collar,unknown,42,EFTA00024507; EFTA00024512; EFTA00025258; EFTA00026910; EFTA00024500
Deutsche Bank,unknown,42,EFTA00025521; EFTA00025519; EFTA00027019; EFTA00037175; EFTA00021644
Barket Epstein,core,41,EFTA00023680; EFTA00026640; EFTA00026669; EFTA00026748; EFTA00021766
Local Hosp,unknown,41,EFTA00035504; EFTA00034603; EFTA00034565; EFTA00035688; EFTA00034806
Subject Re,unknown,40,EFTA00025523; EFTA00036879; EFTA00036883; EFTA00036595; EFTA00036682
Fire Panel,unknown,40,EFTA00034778; EFTA00035504; EFTA00034603; EFTA00034979; EFTA00034565
Australian Ave,unknown,40,EFTA00014171; EFTA00014172; EFTA00014177; EFTA00019177; EFTA00013735
Martin Weinberg,unknown,39,EFTA00024359; EFTA00020937; EFTA00021635; EFTA00021426; EFTA00020766
East Tenth,unknown,39,EFTA00027072; EFTA00024868; EFTA00025066; EFTA00024236; EFTA00026819
Reid Weingarten,unknown,39,EFTA00026772; EFTA00024407; EFTA00020937; EFTA00020942; EFTA00021662
Epstein Victims,core,39,EFTA00037842; EFTA00037877; EFTA00023488; EFTA00023357; EFTA00021030
Health Services,unknown,39,EFTA00036893; EFTA00036919; EFTA00036924; EFTA00036889; EFTA00036887
Fort Lauderdale,unknown,38,EFTA00026800; EFTA00024760; EFTA00037509; EFTA00021763; EFTA00020911
Public Corruption,unknown,37,EFTA00026622; EFTA00026843; EFTA00024873; EFTA00025084; EFTA00026857
Appellant Ghislaine,unknown,37,EFTA00025378; EFTA00023745; EFTA00026477; EFTA00026918; EFTA00023127
Christian R Everdell,unknown,37,EFTA00026872; EFTA00026890; EFTA00025196; EFTA00025206; EFTA00025200
Epstein Victim,core,37,EFTA00023930; EFTA00037733; EFTA00037393; EFTA00037395; EFTA00037394
Beginning Count,unknown,37,EFTA00035504; EFTA00034603; EFTA00034565; EFTA00035688; EFTA00034806
"Jeff
Jeffrey",unknown,36,EFTA00025018; EFTA00026863; EFTA00026849; EFTA00024672; EFTA00025041
Laura Mennin,attorney,36,EFTA00025059; EFTA00026872; EFTA00025206; EFTA00023661; EFTA00025147
Christian R. Everdell,unknown,36,EFTA00024023; EFTA00024708; EFTA00024870; EFTA00021729; EFTA00021944
Country Gender,unknown,36,EFTA00037604; EFTA00037590; EFTA00037615; EFTA00037614; EFTA00037605
Alison J. Nathan,unknown,35,EFTA00024982; EFTA00023503; EFTA00022327; EFTA00023356; EFTA00023460
"Epstein
Thanks",core,35,EFTA00024015; EFTA00023869; EFTA00024684; EFTA00027052; EFTA00037775
Bruce Barket,unknown,34,EFTA00023680; EFTA00026669; EFTA00021766; EFTA00021347; EFTA00021692
Federal Plaza,unknown,34,EFTA00023538; EFTA00025128; EFTA00037283; EFTA00037285; EFTA00037291
"Cc
Subject",unknown,34,EFTA00025123; EFTA00025057; EFTA00024004; EFTA00023546; EFTA00026635
Expert Witness,unknown,34,EFTA00025392; EFTA00021952; EFTA00023123; EFTA00023104; EFTA00020934
Epstein Estate,core,34,EFTA00024408; EFTA00024818; EFTA00015026; EFTA00016286; EFTA00017085
Psych Obs,unknown,34,EFTA00034878; EFTA00035504; EFTA00034603; EFTA00034565; EFTA00034806
Judge Berman,unknown,33,EFTA00024426; EFTA00024002; EFTA00025383; EFTA00021402; EFTA00020766
President Donald,unknown,33,EFTA00026467; EFTA00025258; EFTA00025392; EFTA00026723; EFTA00025231
Dear Judge,unknown,32,EFTA00024724; EFTA00026524; EFTA00026526; EFTA00024021; EFTA00023378
Roberta Kaplan,attorney,32,EFTA00026674; EFTA00025349; EFTA00025495; EFTA00026681; EFTA00025345
"Plaza
New",unknown,32,EFTA00023688; EFTA00027071; EFTA00026806; EFTA00023768; EFTA00023683
Good Morning,unknown,32,EFTA00024404; EFTA00025145; EFTA00026804; EFTA00036392; EFTA00036754
Original Filename,unknown,32,EFTA00027066; EFTA00026826; EFTA00026918; EFTA00020991; EFTA00021008
General Counsel,unknown,32,EFTA00024708; EFTA00025536; EFTA00025392; EFTA00024706; EFTA00025231
Quality Control,unknown,32,EFTA00023745; EFTA00026826; EFTA00026918; EFTA00020991; EFTA00020942
"New
York",unknown,32,EFTA00025287; EFTA00024760; EFTA00036315; EFTA00020515; EFTA00020787
"From
Subject",unknown,32,EFTA00024902; EFTA00037763; EFTA00037205; EFTA00037458; EFTA00037229
Sigrid McCawley,attorney,31,EFTA00026800; EFTA00025324; EFTA00026783; EFTA00025501; EFTA00025125
Traverse City,unknown,31,EFTA00025018; EFTA00026863; EFTA00026849; EFTA00024672; EFTA00025041
West Front,unknown,31,EFTA00025018; EFTA00026863; EFTA00026849; EFTA00024672; EFTA00025041
"Arts
Jeff",unknown,31,EFTA00025018; EFTA00026863; EFTA00026849; EFTA00024672; EFTA00025041
"Jocks
Sondee",unknown,31,EFTA00025018; EFTA00026863; EFTA00026849; EFTA00024672; EFTA00025041
The West,unknown,31,EFTA00024888; EFTA00026465; EFTA00026926; EFTA00023918; EFTA00024912
Brad Edwards,unknown,31,EFTA00024248; EFTA00037173; EFTA00037175; EFTA00021033; EFTA00021032
Bates End,unknown,31,EFTA00024987; EFTA00024919; EFTA00024868; EFTA00024791; EFTA00024236
Summary Description,unknown,31,EFTA00024987; EFTA00024919; EFTA00024868; EFTA00024791; EFTA00024236
"Epstein
Good",core,31,EFTA00026636; EFTA00024015; EFTA00027046; EFTA00023869; EFTA00026727
Private Air,unknown,31,EFTA00037601; EFTA00037590; EFTA00037614; EFTA00037605; EFTA00037583
Andrew Tomback,political,30,EFTA00023698; EFTA00026834; EFTA00024502; EFTA00023750; EFTA00024501
"Christian Everdell
Sent",attorney,30,EFTA00025037; EFTA00025062; EFTA00020821; EFTA00021569; EFTA00021918
Bates Start,unknown,30,EFTA00024987; EFTA00024919; EFTA00024868; EFTA00024791; EFTA00024236
Attorney Conference,unknown,30,EFTA00034594; EFTA00034053; EFTA00034722; EFTA00034760; EFTA00034217
Evenin Watch,unknown,30,EFTA00034778; EFTA00035560; EFTA00035680; EFTA00035620; EFTA00034792
"Arts
Date",unknown,29,EFTA00025018; EFTA00026978; EFTA00026863; EFTA00026849; EFTA00024672
Interlochen Center,unknown,29,EFTA00025018; EFTA00026978; EFTA00026863; EFTA00026849; EFTA00024672
Paralegal Specialist,unknown,29,EFTA00024921; EFTA00023688; EFTA00027071; EFTA00026806; EFTA00024819
David Boies,attorney,29,EFTA00024708; EFTA00037085; EFTA00037119; EFTA00023292; EFTA00023053
Original Messa,unknown,29,EFTA00023543; EFTA00025355; EFTA00023545; EFTA00037333; EFTA00022456
York Times,unknown,29,EFTA00024722; EFTA00021202; EFTA00021861; EFTA00023428; EFTA00023419
"Normal
Thank",unknown,29,EFTA00037766; EFTA00037405; EFTA00037705; EFTA00037381; EFTA00037310
Mornin Watch,unknown,29,EFTA00034778; EFTA00034534; EFTA00034878; EFTA00034885; EFTA00035684
"Rear
Gate",unknown,29,EFTA00034908; EFTA00035688; EFTA00034583; EFTA00034871; EFTA00034888
Criminal Division,unknown,28,EFTA00024171; EFTA00025272; EFTA00026710; EFTA00025524; EFTA00026959
Magistrate Judge,unknown,28,EFTA00024772; EFTA00026735; EFTA00026493; EFTA00026523; EFTA00024744
Andrews Plaza,political,28,EFTA00025125; EFTA00026939; EFTA00024287; EFTA00037812; EFTA00020965
Federal Rule,unknown,28,EFTA00026494; EFTA00024032; EFTA00024744; EFTA00022960; EFTA00022091
Departure Location,unknown,28,EFTA00037604; EFTA00037590; EFTA00037605; EFTA00037624; EFTA00037623
Regional Director,unknown,28,EFTA00036655; EFTA00036745; EFTA00036656; EFTA00036748; EFTA00036621
Daily Sensitive,unknown,28,EFTA00035504; EFTA00034603; EFTA00034565; EFTA00035688; EFTA00034806
Jeff Jocks,unknown,27,EFTA00025018; EFTA00026863; EFTA00024672; EFTA00025041; EFTA00024879
The Department,unknown,27,EFTA00025035; EFTA00024987; EFTA00024919; EFTA00025287; EFTA00024791
Correctional Services,unknown,27,EFTA00023756; EFTA00023768; EFTA00036417; EFTA00036419; EFTA00036418
Fact Witness,unknown,27,EFTA00024901; EFTA00023123; EFTA00023104; EFTA00020934; EFTA00020935
Park Plaza,unknown,27,EFTA00026910; EFTA00025442; EFTA00023915; EFTA00023535; EFTA00020668
The New,unknown,27,EFTA00024722; EFTA00023428; EFTA00023419; EFTA00022538; EFTA00023424
"Institution
Public",unknown,27,EFTA00034908; EFTA00035688; EFTA00034583; EFTA00034871; EFTA00034888
Nicole Simmons,unknown,26,EFTA00023748; EFTA00024232; EFTA00024909; EFTA00023661; EFTA00025174
Nathan NYSD Chambers,unknown,26,EFTA00024174; EFTA00024808; EFTA00023503; EFTA00023356; EFTA00023411
Laura A. Menninger,unknown,26,EFTA00024708; EFTA00026735; EFTA00025196; EFTA00025200; EFTA00021944
"Intake
Date",unknown,26,EFTA00025010; EFTA00020462; EFTA00020497; EFTA00020506; EFTA00020505
Donald Trump,political,26,EFTA00037127; EFTA00020517; EFTA00020508; EFTA00016590; EFTA00016124
"Temporary
Chit",unknown,26,EFTA00034908; EFTA00035688; EFTA00034583; EFTA00034871; EFTA00034888
Jay Lefkowitz,unknown,26,EFTA00014114; EFTA00013499; EFTA00013508; EFTA00013554; EFTA00013749
Inmate Name,unknown,25,EFTA00024019; EFTA00036598; EFTA00036573; EFTA00036582; EFTA00036581
Psychology Services,unknown,25,EFTA00023756; EFTA00023768; EFTA00024366; EFTA00036745; EFTA00036593
Audrey Strauss,attorney,25,EFTA00023783; EFTA00023791; EFTA00021812; EFTA00021776; EFTA00021780
Violent Crimes,unknown,25,EFTA00025401; EFTA00037401; EFTA00037224; EFTA00037248; EFTA00037232
"Justice
Office",unknown,25,EFTA00023915; EFTA00025269; EFTA00023535; EFTA00021159; EFTA00036018
Correctional Officer,unknown,25,EFTA00036622; EFTA00036541; EFTA00036543; EFTA00036565; EFTA00036626
Watch Shift,unknown,25,EFTA00034778; EFTA00034534; EFTA00034885; EFTA00035560; EFTA00035684
"Attorney
West",unknown,25,EFTA00014156; EFTA00014158; EFTA00014114; EFTA00013678; EFTA00013951
Flash Drive,unknown,24,EFTA00023728; EFTA00027000; EFTA00026979; EFTA00024566; EFTA00023710
Pending Authorization,unknown,24,EFTA00025090; EFTA00025382; EFTA00025375; EFTA00026784; EFTA00025334
Jencks Act,unknown,24,EFTA00025035; EFTA00025239; EFTA00025287; EFTA00025066; EFTA00023910
Supervisory Staff,unknown,24,EFTA00024400; EFTA00024003; EFTA00036389; EFTA00036388; EFTA00020627
Police Department,unknown,24,EFTA00026910; EFTA00023938; EFTA00037840; EFTA00037884; EFTA00021689
Professional Responsibility,unknown,24,EFTA00025398; EFTA00022091; EFTA00016124; EFTA00014460; EFTA00037964
Public Health,unknown,24,EFTA00025231; EFTA00036317; EFTA00036306; EFTA00036293; EFTA00022509
Search Warrant,unknown,24,EFTA00026865; EFTA00037818; EFTA00037750; EFTA00021968; EFTA00020527
Status Error,unknown,24,EFTA00037604; EFTA00037615; EFTA00037614; EFTA00037583; EFTA00037623
Travelers Name,unknown,24,EFTA00037601; EFTA00037590; EFTA00037614; EFTA00037586; EFTA00037592
"Captain
Metropolitan",unknown,24,EFTA00036416; EFTA00036414; EFTA00036413; EFTA00036415; EFTA00036163
"Update
Date",unknown,24,EFTA00036517; EFTA00036523; EFTA00036427; EFTA00036515; EFTA00036368
"Sigrid McCawley
Sent",attorney,23,EFTA00025324; EFTA00025468; EFTA00025501; EFTA00025305; EFTA00025319
Epstein Meeting,core,23,EFTA00024251; EFTA00024255; EFTA00024254; EFTA00024256; EFTA00024253
"Epstein
Begin",core,23,EFTA00026624; EFTA00026653; EFTA00026630; EFTA00026727; EFTA00026632
Searcy Denney,unknown,23,EFTA00023555; EFTA00023536; EFTA00026451; EFTA00024995; EFTA00024996
Daily News,unknown,23,EFTA00023983; EFTA00025499; EFTA00023079; EFTA00020645; EFTA00034197
"Epstein
Joe",core,23,EFTA00026653; EFTA00023869; EFTA00026727; EFTA00024684; EFTA00020674
"Prisons
Metro",unknown,23,EFTA00036407; EFTA00036406; EFTA00034953; EFTA00035531; EFTA00034618
Prosecution Agreement,unknown,23,EFTA00022546; EFTA00021442; EFTA00023053; EFTA00020711; EFTA00013961
Vice President,unknown,23,EFTA00021666; EFTA00021202; EFTA00023437; EFTA00021675; EFTA00035589
Jane Doe,unknown,23,EFTA00020711; EFTA00014452; EFTA00014450; EFTA00020088; EFTA00019577
Census Count,unknown,23,EFTA00034734; EFTA00034806; EFTA00034871; EFTA00034864; EFTA00034067
White Plains,unknown,22,EFTA00026428; EFTA00025081; EFTA00026451; EFTA00025173; EFTA00024760
"Arts
Receipt",unknown,22,EFTA00025018; EFTA00024672; EFTA00025041; EFTA00024879; EFTA00022997
